RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
22694,Queens,2016,5,11,11,0,122,156016,POINT (1030236.5248402834 172978.63034873718),NORTH CHANNEL BRIDGE,Dead End,Black Bank Marsh Shoreline,SB
37077,Brooklyn,2024,1,11,23,0,11,152523,POINT (1003654.6586852521 199554.47003534436),METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
7140,Staten Island,2009,6,6,6,15,122,155399,POINT (953027.2 146210.9),W/B HYLAND BLVD( W/LEG) @ BEACH AVE,STERLING AV,BEACH AV,WB
7493,Manhattan,2008,8,7,5,15,485,194998,POINT (995991.2 216107.2),FDR DRIVE @ EAST 63 ST ENTRANCE,BEND,E 63 STREET PEDESTRIAN OPAS,SB
22367,Queens,2015,12,9,21,30,30,91954,POINT (1038074.824713714 219711.4418236217),32 AVENUE,158 Street,159 Street,EB
22606,Staten Island,2016,2,6,6,30,13,15116,POINT (960883.334006782 163547.84974413534),VANDERBILT AVENUE,Metcalfe Street,Targee Street,SB
26601,Queens,2017,10,10,7,30,440,156483,POINT (1046481.133315428 205615.1052459631),UNION TURNPIKE,195 Street,196 Street,WB
26799,Queens,2017,4,10,9,0,247,156342,POINT (997369.8589727633 208628.7233612125),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB
37203,Queens,2024,1,21,5,30,3,9000515,POINT (1041074.973834683 193690.47360957888),160 STREET,Dead End,Dead end,SB
7496,Manhattan,2009,9,30,7,45,226,132887,POINT (1002956.7 237870),E/B 145TH ST BR @ E 149 ST,145 ST BR,BEND,EB
28006,Queens,2018,5,28,19,0,19,77104,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,Rikers Is Bridge,Dead end,SB
10267,Manhattan,2012,9,1,3,15,13,71360,POINT (1003632.1 248057.9),TRANS MANHATTAN EP NB ET 1 B,TRANS MANHATTAN EP SB EN WASH BR,BEND,NB
18080,Bronx,2014,9,25,23,45,15,273910,POINT (1016863.8094417293 244158.03970126098),WEST FARMS ROAD,Dead End,Dead end,NB
7870,Staten Island,2012,5,2,12,15,402,155310,POINT (937088.1 145809),FRESH KILLS BR,FRESH KILLS BRG,RICHMOND AV,SB
26272,Manhattan,2017,8,3,0,30,370,33821,POINT (987037.2253317683 213225.92403415727),7 AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB
10194,Brooklyn,2012,7,25,15,0,34,20353,POINT (989028.1 161166.9),W 9 ST,AV O,AV P,NB
34045,Staten Island,2021,11,8,21,45,17,10531,POINT (951260.8574157692 148883.09979580253),NEW DORP LANE,2 Street,3 Street,EB
9546,Queens,2012,2,16,4,45,12,147683,POINT (1056658.6 204987.6),BRADDOCK AVENUE,BILLINGS STREET,90 AVENUE,EB
11132,Brooklyn,2012,11,19,7,30,36,28650,POINT (998712.1 170676.6),NOSTRAND AV,GLENWOOD RD,FARRAGUT RD,NB
34380,Brooklyn,2022,2,28,12,15,8,35448,POINT (998665.0332924452 201046.8734041954),RICHARDSON STREET,Meeker Avenue,Leonard Street,WB
